Custom Header,Domain Name,Resolved IP
19020400,_apple-mobdev._tcp.local,192.168.1.6
19020401,_apple-mobdev._tcp.local,192.168.1.7
19020402,github.com,192.168.1.8
19020403,Brother MFC-7860DW._pdl-datastream._tcp.local,192.168.1.9
19020404,Brother MFC-7860DW._pdl-datastream._tcp.local,192.168.1.10
19020405,bing.com,192.168.1.6
19020406,facebook.com,192.168.1.7
19020407,Brother MFC-7860DW._pdl-datastream._tcp.local,192.168.1.8
19020408,Brother MFC-7860DW._pdl-datastream._tcp.local,192.168.1.9
19020409,amazon.com,192.168.1.10
19020410,_apple-mobdev._tcp.local,192.168.1.6
19020411,Brother MFC-7860DW._pdl-datastream._tcp.local,192.168.1.7
19020412,Brother MFC-7860DW._pdl-datastream._tcp.local,192.168.1.8
19020413,linkedin.com,192.168.1.9
19020414,Brother MFC-7860DW._pdl-datastream._tcp.local,192.168.1.10
19020415,Brother MFC-7860DW._pdl-datastream._tcp.local,192.168.1.6
19020416,_apple-mobdev._tcp.local,192.168.1.7
19020417,_apple-mobdev._tcp.local,192.168.1.8
19020418,stackoverflow.com,192.168.1.9
19020419,Brother MFC-7860DW._pdl-datastream._tcp.local,192.168.1.10
19020420,Brother MFC-7860DW._pdl-datastream._tcp.local,192.168.1.6
19020421,Brother MFC-7860DW._pdl-datastream._tcp.local,192.168.1.7
19020422,Brother MFC-7860DW._pdl-datastream._tcp.local,192.168.1.8
